species,googling,Source
Abramis brama,N,Fishbase
Acipenser ruthenus,,
Alburnoides rossicus,N,Fishbase
Alburnus alburnus,,
Alburnus tarichi,N,Fishbase
Anguilla anguilla,N,Fishbase
Aphanius fasciatus,N,Fishbase
Atherina presbyter,MARINE,Fishbase & DORIS
Babka gymnotrachelus,E,JSD4 & Fishbase
Ballerus ballerus,N,Fishbase
Ballerus sapa,E,Fishbase & INPN
Barbatula barbatula,N,Fishbase
Barbus balcanicus,N,Fishbase
Barbus barbus,N,Fishbase
Benthophilus nudus,,
Blicca bjoerkna,,
Carassius carassius,,
Carassius gibelio,E,JSD4 & Fishbase
Chelon auratus,N,Fishbase
Chelon ramada,N,Fishbase
Chondrostoma nasus,N,INPN
Cichlasoma bimaculatum,E,Fishbase & Fishpedia
Clarias gariepinus,E,Fishbase & Fishpedia
Clupeonella cultriventris,N,Fishbase
Cobitis lutheri,E,Fishbase
Cobitis taenia,N,Fishbase
Coregonus albula,N,Fishbase
Coregonus arenicolus,N,Fishbase
Coregonus lavaretus,N,Fishbase
Coregonus macrophthalmus,N,Fishbase
Coregonus maraena,N,Fishbase
Coregonus wartmanni,N,Fishbase
Cottus gobio,N,Fishbase
Cottus perifretum,N,INPN
Cottus rhenanus,N,Fishbase
Cyprinus carpio,,
Cyprinus rubrofuscus,E,Fishbase & Aquaportail
Esox aquitanicus,N,
Esox lucius,,
Esox reichertii,E,Fishbase
Gasterosteus aculeatus,N,Fishbase
Gobio cynocephalus,E,Fishbase
Gobio gobio,,
Gobio obtusirostris,N,Fishbase
Gobius cobitis,N,Fishbase
Gymnocephalus cernua,N,Fishbase
Hucho hucho,N,Fishbase
Huso huso,N,Fishbase
Leucaspius delineatus,N,Fishbase
Leuciscus aspius,E,F & INPN
Leuciscus burdigalensis,N,Fishbase
Leuciscus idus,N,Fishbase
Leuciscus leuciscus,N,Fishbase
Leucos aula,N,Fishbase
Lota lota,N,Fishbase
Misgurnus fossilis,N,Fishbase
Misgurnus mohoity,E,Fishbase
Myleus pacu,E,Fishbase
Oncorhynchus aguabonita,E,Fishbase
Oncorhynchus mykiss,E,JSD4 & Fishbase
Osmerus eperlanus,N,Fishbase
Pangasianodon hypophthalmus,E,Fishbase
Parachondrostoma toxostoma,N,Fishbase
Perca fluviatilis,,
Percarina demidoffii,N,Fishbase
Perccottus glenii,E,JSD4 & Fishbase
Petroleuciscus borysthenicus,N,Fishbase
Phoxinus phoxinus,N,Fishbase
Phoxinus septimaniae,N,Fishbase
Pleuronectes platessa,N,Fishbase
Pomatoschistus marmoratus,N,Fishbase
Ponticola kessleri,,
Proterorhinus marmoratus,N,Fishbase
Proterorhinus semilunaris,E,Fishbase
Protochondrostoma genei,,
Pterygoplichthys gibbiceps,E,Fishbase
Pungitius laevis,N,Fishbase
Pungitius platygaster,N,Fishbase
Pungitius pungitius,N,Fishbase
Rhodeus amarus,N,Fishbase
Rhodeus sericeus,E,JSD4 & Fishbase
Rhynchocypris percnurus,N,Fishbase
Romanogobio albipinnatus,N,Fishbase
Romanogobio belingi,N,Fishbase
Romanogobio kesslerii,N,Fishbase
Romanogobio uranoscopus,N,Fishbase
Romanogobio vladykovi,N,Fishbase
Rutilus meidingeri,N,Fishbase
Rutilus rutilus,,
Rutilus virgo,N,Fishbase
Sabanejewia baltica,N,Fishbase
Salaria pavo,MARINE,Fishbase & DORIS
Salmo salar,N,Fishbase
Salmo trutta,MARINE,Fishbase & DORIS
Salvelinus profundus,N,Fishbase
Sander canadensis,E,Fishbase
Sander lucioperca,,
Sander vitreus,E,Fishbase
Scardinius erythrophthalmus,,
Scardinius hesperidicus,N,Fishbase
Silurus glanis,,
Silurus soldatovi,E,Fishbase
Sparus aurata,MARINE,Fishbase
Squalius cephalus,N,Fishbase
Squalius squalus,N,Fishbase
Syngnathus abaster,N,Fishbase
Syngnathus acus,MARINE,Fishbase
Telestes souffia,N,Fishbase
Tetraodon mbu,E,Fishbase
Thymallus thymallus,N,Fishbase
Tinca tinca,N,Fishbase
Vimba vimba,,
Zosterisessor ophiocephalus,MARINE,Fishbase
