Genus,species,full,Status
Abramis,ballerus,Abramis ballerus,N
Abramis,brama,Abramis brama,U
Abramis,sapa,Abramis sapa,U
Acanthalburnus,microlepis,Acanthalburnus microlepis,N
Acanthobrama,centisquama,Acanthobrama centisquama,N
Acanthobrama,marmid,Acanthobrama marmid,N
Acanthobrama,mirabilis,Acanthobrama mirabilis,N
Acantholingua,ohridana,Acantholingua ohridana,N
Acipenser,baeri,Acipenser baeri,U
Acipenser,gueldenstaedtii,Acipenser gueldenstaedtii,N
Acipenser,naccarii,Acipenser naccarii,N
Acipenser,nudiventris,Acipenser nudiventris,N
Acipenser,persicus,Acipenser persicus,N
Acipenser,ruthenus,Acipenser ruthenus,U
Acipenser,stellatus,Acipenser stellatus,N
Acipenser,sturio,Acipenser sturio,N
Acipenser,transmontanus,Acipenser transmontanus,E
Alburnoides,bipunctatus,Alburnoides bipunctatus,N
Alburnus,albidus,Alburnus albidus,N
Alburnus,alburnus,Alburnus alburnus,U
Alburnus,alburnus hohenackeri,Alburnus alburnus hohenackeri,N
Alburnus,arborella,Alburnus arborella,N
Alburnus,escherichii,Alburnus escherichii,N
Alburnus,filippii,Alburnus filippii,N
Alburnus,heckeli,Alburnus heckeli,N
Alburnus,orontis,Alburnus orontis,N
Alburnus,sellal,Alburnus sellal,N
Alosa,agone,Alosa agone,N
Alosa,alosa,Alosa alosa,N
Alosa,braschnikovi,Alosa braschnikovi,N
Alosa,caspia,Alosa caspia,N
Alosa,fallax,Alosa fallax,N
Alosa,immaculata,Alosa immaculata,N
Alosa,kessleri,Alosa kessleri,N
Alosa,maeotica,Alosa maeotica,N
Alosa,pontica,Alosa pontica,N
Alosa,saposchnikowii,Alosa saposchnikowii,N
Alosa,sphaerocephala,Alosa sphaerocephala,N
Alosa,tanaica,Alosa tanaica,N
Ambloplites,rupestris,Ambloplites rupestris,E
Ameiurus,melas,Ameiurus melas,E
Ameiurus,nebulosus,Ameiurus nebulosus,E
Anaecypris,hispanica,Anaecypris hispanica,N
Anguilla,anguilla,Anguilla anguilla,U
Aphanius,anatoliae,Aphanius anatoliae,N
Aphanius,asquamatus,Aphanius asquamatus,N
Aphanius,chantrei,Aphanius chantrei,N
Aphanius,danfordii,Aphanius danfordii,N
Aphanius,fasciatus,Aphanius fasciatus,U
Aphanius,iberus,Aphanius iberus,N
Aphanius,mento,Aphanius mento,N
Aphanius,villwocki,Aphanius villwocki,N
Aristichthys,nobilis,Aristichthys nobilis,E
Arius,cous,Arius cous,N
Aspius,aspius,Aspius aspius,U
Aspius,vorax,Aspius vorax,N
Atherina,boyeri,Atherina boyeri,N
Atherina,hepsetus,Atherina hepsetus,N
Barbatula,barbatula,Barbatula barbatula,U
Barbatula,bureschi,Barbatula bureschi,N
Barbatula,merga,Barbatula merga,N
Barbatula,pindus,Barbatula pindus,N
Barbus,albanicus,Barbus albanicus,N
Barbus,barbus,Barbus barbus,U
Barbus,bocagei,Barbus bocagei,N
Barbus,borysthenicus,Barbus borysthenicus,N
Barbus,brachycephalus caspius,Barbus brachycephalus caspius,N
Barbus,canis,Barbus canis,N
Barbus,comizo,Barbus comizo,N
Barbus,cyclolepis,Barbus cyclolepis,N
Barbus,esocinus,Barbus esocinus,N
