"Valid taxon;;;""absolute fecundity (no. oocytes)"";;;""acid tolerance"";""body length (cm)"";;;""climate change affected species according to <a href=""""http://www.climate-and-freshwater.info"""" target=""""_blank"""">www.climate-and-freshwater.info</a> (caf)"";;;;;;;;;;;""egg diameter (mm)"";;;""feeding diet (adult)"";""feeding habitat"";""female maturity (years)"";;;;;habitat;;;""habitat (fiBS)"";;;""habitat degradation tolerance"";""HD threat"";""incubation period (days)"";;;""larval length (cm)"";;;""larval stage duration (days)"";;;""length weight regression"";""life span (years)"";;;migration;""migration (fiBS)"";;;;""oxygen tolerance"";""parental care"";""relative fecundity (no. oocytes/g)"";;;""reproduction (fiBS)"";;;;;;;;;""reproduction habitat"";""reproductive behaviour"";""rheophily (habitat)"";salinity;;;;;""shape factor"";;;;""spawning habitat"";""spawning time"";;""swimming factor"";;;""temperature tolerance"";""toxicity tolerance"";""trophy (fiBS)"";;;;;;;""water quality tolerance – general"";""Imported file"";",,
"Genus;Species;ID-fwe;fe1;fe2;fe3;""acid tolerance"";bl1;bl2;bl3;""rivers cold"";""rivers temp"";""rivers warm"";""lakes cold"";""lakes temp"";""lakes warm"";""wetlands cold"";""wetlands temp"";""wetlands warm"";""climate change impact"";winner/loser;ed1;ed2;ed3;""feeding diet (adult)"";""feeding habitat"";ma1;ma2;ma3;ma4;ma5;pel;ben;dem;indifferent;rheophil;stagnophil;""habitat degradation tolerance"";""HD threat"";ip1;ip2;ip3;ll1;ll2;ll3;ld1;ld2;ld3;""length weight regressionInfo"";ls1;ls2;ls3;migration;short;medium;long;type;""oxygen tolerance"";""parental care"";fr1;fr2;fr3;lithophilic;litho-pelagophilic;pelagophilic;phytophilic;phyto-lithophilic;psammophilic;ostracophilic;speleophilic;marine;""reproduction habitat"";""reproductive behaviour"";""rheophily (habitat)"";fre;fbr;brm;fbm;fma;sh1;sh2;sh3;sh4;""spawning habitat"";st1;st2;sw1;sw2;sw3;""temperature tolerance"";""toxicity tolerance"";""filter feeder"";herbivorous;inverti-piscivorous;invertivorous;omnivorous;piscivorous;planktivorous;""water quality tolerance – general"";genus;species",,
Acipenser;baerii;759;0;0;1;;0;0;1;;;;;;;;;;;;0;0;1;invert;ben;0;0;0;0;1;0;0;1;;;;;V;0;1;0;0;0;1;;;;;0;0;1;pot;;;;;;no;1;0;0;;;;;;;;;;lith;;rheo;0;1;0;0;0;;;;;rheo;1;0;;;;eury;;;;;;;;;;Acipenser;baerii,,
Acipenser;gueldenstaedtii;420;0;0;1;intol;0;0;1;;;;;;;;;;;;0;0;1;omni;ben;0;0;0;0;1;0;0;1;;;;im;V;1;0;0;0;0;1;;;;;0;0;1;dia;;;;;im;no;0;1;0;;;;;;;;;;lithpel;sin;rheo;0;0;0;1;0;0;0;0;1;rheo;1;0;1;0;0;eury;im;;;;;;;;tol;Acipenser;gueldenstaedtii,,
Acipenser;naccarii;329;;;;intol;0;0;1;;;;;;;;;;;;;;;invert;ben;0;0;0;0;1;0;0;1;;;;im;;0;1;0;;;;1;0;0;;1;0;0;dia;;;;;im;no;;;;;;;;;;;;;;sin;eury;0;0;0;1;0;;;;;rheo;1;0;;;;eury;im;;;;;;;;im;Acipenser;naccarii,,
Acipenser;nudiventris;370;0;0;1;intol;0;0;1;;;;;;;;;;;;0;0;1;omni;ben;0;0;0;0;1;0;0;1;;;;im;V;1;0;0;;;;;;;;0;0;1;dia;;;;;im;no;;;;;;;;;;;;;lithpel;sin;rheo;0;0;0;1;0;;;;;rheo;1;0;;;;eury;im;;;;;;;;tol;Acipenser;nudiventris,,
Acipenser;ruthenus;213;0;0;1;intol;0;0;1;;;;;;;;;;;;0;0;1;invert;ben;0;0;0;0;1;0;0;1;;;;im;V;1;0;0;;;;;;;0,000009*(x^2,"9615);0;0;1;pot;;;;;im;no;;;;;;;;;;;;;lithpel;sin;""rheo A"";0;1;0;0;0;0;0;0;1;rheo;1;0;1;0;0;eury;im;;;;;;;;tol;Acipenser;ruthenus"
Acipenser;stellatus;371;0;0;1;intol;0;0;1;;;;;;;;;;;;0;0;1;omni;ben;0;0;0;0;1;0;0;1;;;;im;V;1;0;0;;;;;;;;0;0;1;dia;;;;;im;no;1;0;0;;;;;;;;;;lithpel;sin;rheo;0;0;0;1;0;;;;;rheo;1;0;;;;eury;im;;;;;;;;tol;Acipenser;stellatus,,
Acipenser;sturio;214;0;0;1;intol;0;0;1;;;;;;;;;;;;0;0;1;invert;ben;0;0;0;0;1;0;0;1;0;1;0;intol;II;1;0;0;;;;;;;;0;0;1;dia;0;0;1;ana;im;no;1;0;0;1;0;0;0;0;0;0;0;0;lith;sin;rheo;0;0;0;1;0;0;0;0;1;rheo;1;0;1;0;0;eury;im;0;0;0;1;0;0;0;im;Acipenser;sturio,,
Huso;huso;334;0;0;1;intol;0;0;1;;;;;;;;;;;;0;0;1;pisci;ben;0;0;0;0;1;0;0;1;;;;im;V;0;1;0;;;;;;;;0;0;1;dia;;;;;intol;no;1;0;0;;;;;;;;;;lithpel;sin;limno;0;0;0;1;0;;;;;rheo;1;0;;;;eury;intol;;;;;;;;tol;Huso;huso,,
Polyodon;spathula;544;;;;intol;;;;;;;;;;;;;;;;;;plankt;wc;;;;;;;;;;;;tol;;;;;;;;;;;;;;;;;;;;intol;no;;;;;;;;;;;;;;sin;rheo;;;;;;;;;;rheo;;;;;;eury;;;;;;;;;tol;Polyodon;spathula,,
