"""Valid taxon",NA,NA,"""""absolute fecundity (no. oocytes)""""",NA,NA,acid_tol,"""""body length (cm)""""",NA,NA,"""""climate change affected species according to <a href=""""""""http://www.climate-and-freshwater.info"""""""" target=""""""""_blank"""""""">www.climate-and-freshwater.info</a> (caf)""""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"""""egg diameter (mm)""""",NA,NA,"""""feeding diet (adult)""""","""""feeding habitat""""","""""female maturity (years)""""",NA,NA,NA,NA,habitat,NA,NA,"""""habitat (fiBS)""""",NA,NA,"""""habitat degradation tolerance""""","""""HD threat""""","""""incubation period (days)""""",NA,NA,"""""larval length (cm)""""",NA,NA,"""""larval stage duration (days)""""",NA,NA,"""""length weight regression""""","""""life span (years)""""",NA,NA,migration,"""""migration (fiBS)""""",NA,NA,NA,"""""oxygen tolerance""""","""""parental care""""","""""relative fecundity (no. oocytes/g)""""",NA,NA,"""""reproduction (fiBS)""""",NA,NA,NA,NA,NA,NA,NA,NA,"""""reproduction habitat""""","""""reproductive behaviour""""","""""rheophily (habitat)""""",salinity,NA,NA,NA,NA,"""""shape factor""""",NA,NA,NA,"""""spawning habitat""""","""""spawning time""""",NA,"""""swimming factor""""",NA,NA,"""""temperature tolerance""""","""""toxicity tolerance""""","""""trophy (fiBS)""""",NA,NA,NA,NA,NA,NA,"""""water quality tolerance – general""""","""""Imported file""""",""",,"
"""Genus",Species,ID-fwe,fe1,fe2,fe3,"""""acid tolerance""""",bl1,bl2,bl3,"""""rivers cold""""","""""rivers temp""""","""""rivers warm""""","""""lakes cold""""","""""lakes temp""""","""""lakes warm""""","""""wetlands cold""""","""""wetlands temp""""","""""wetlands warm""""","""""climate change impact""""",winner/loser,ed1,ed2,ed3,"""""feeding diet (adult)""""","""""feeding habitat""""",ma1,ma2,ma3,ma4,ma5,pel,ben,dem,indifferent,rheophil,stagnophil,"""""habitat degradation tolerance""""","""""HD threat""""",ip1,ip2,ip3,ll1,ll2,ll3,ld1,ld2,ld3,"""""length weight regressionInfo""""",ls1,ls2,ls3,migration,short,medium,long,type,"""""oxygen tolerance""""","""""parental care""""",fr1,fr2,fr3,lithophilic,litho-pelagophilic,pelagophilic,phytophilic,phyto-lithophilic,psammophilic,ostracophilic,speleophilic,marine,"""""reproduction habitat""""","""""reproductive behaviour""""","""""rheophily (habitat)""""",fre,fbr,brm,fbm,fma,sh1,sh2,sh3,sh4,"""""spawning habitat""""",st1,st2,sw1,sw2,sw3,"""""temperature tolerance""""","""""toxicity tolerance""""","""""filter feeder""""",herbivorous,inverti-piscivorous,invertivorous,omnivorous,piscivorous,planktivorous,"""""water quality tolerance – general""""",genus,"species"",,"
Acipenser,baerii,759,0,0,1,NA,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,invert,ben,0,0,0,0,1,0,0,1,NA,NA,NA,NA,V,0,1,0,0,0,1,NA,NA,NA,NA,0,0,1,pot,NA,NA,NA,NA,NA,no,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,lith,NA,rheo,0,1,0,0,0,NA,NA,NA,NA,rheo,1,0,NA,NA,NA,eury,NA,NA,NA,NA,NA,NA,NA,NA,NA,Acipenser,"baerii,,"
Acipenser,gueldenstaedtii,420,0,0,1,intol,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,omni,ben,0,0,0,0,1,0,0,1,NA,NA,NA,im,V,1,0,0,0,0,1,NA,NA,NA,NA,0,0,1,dia,NA,NA,NA,NA,im,no,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,lithpel,sin,rheo,0,0,0,1,0,0,0,0,1,rheo,1,0,1,0,0,eury,im,NA,NA,NA,NA,NA,NA,NA,tol,Acipenser,"gueldenstaedtii,,"
Acipenser,naccarii,329,NA,NA,NA,intol,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,invert,ben,0,0,0,0,1,0,0,1,NA,NA,NA,im,NA,0,1,0,NA,NA,NA,1,0,0,NA,1,0,0,dia,NA,NA,NA,NA,im,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sin,eury,0,0,0,1,0,NA,NA,NA,NA,rheo,1,0,NA,NA,NA,eury,im,NA,NA,NA,NA,NA,NA,NA,im,Acipenser,"naccarii,,"
Acipenser,nudiventris,370,0,0,1,intol,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,omni,ben,0,0,0,0,1,0,0,1,NA,NA,NA,im,V,1,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,1,dia,NA,NA,NA,NA,im,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lithpel,sin,rheo,0,0,0,1,0,NA,NA,NA,NA,rheo,1,0,NA,NA,NA,eury,im,NA,NA,NA,NA,NA,NA,NA,tol,Acipenser,"nudiventris,,"
Acipenser,ruthenus,213,0,0,1,intol,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,invert,ben,0,0,0,0,1,0,0,1,NA,NA,NA,im,V,1,0,0,NA,NA,NA,NA,NA,NA,"0,000009*(x^2,""9615)",0,0,1,pot,NA,NA,NA,NA,im,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lithpel,sin,"""""rheo A""""",0,1,0,0,0,0,0,0,1,rheo,1,0,1,0,0,eury,im,NA,NA,NA,NA,NA,NA,NA,tol,Acipenser,"ruthenus"""
Acipenser,stellatus,371,0,0,1,intol,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,omni,ben,0,0,0,0,1,0,0,1,NA,NA,NA,im,V,1,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,1,dia,NA,NA,NA,NA,im,no,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,lithpel,sin,rheo,0,0,0,1,0,NA,NA,NA,NA,rheo,1,0,NA,NA,NA,eury,im,NA,NA,NA,NA,NA,NA,NA,tol,Acipenser,"stellatus,,"
Acipenser,sturio,214,0,0,1,intol,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,invert,ben,0,0,0,0,1,0,0,1,0,1,0,intol,II,1,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,1,dia,0,0,1,ana,im,no,1,0,0,1,0,0,0,0,0,0,0,0,lith,sin,rheo,0,0,0,1,0,0,0,0,1,rheo,1,0,1,0,0,eury,im,0,0,0,1,0,0,0,im,Acipenser,"sturio,,"
Huso,huso,334,0,0,1,intol,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,pisci,ben,0,0,0,0,1,0,0,1,NA,NA,NA,im,V,0,1,0,NA,NA,NA,NA,NA,NA,NA,0,0,1,dia,NA,NA,NA,NA,intol,no,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,lithpel,sin,limno,0,0,0,1,0,NA,NA,NA,NA,rheo,1,0,NA,NA,NA,eury,intol,NA,NA,NA,NA,NA,NA,NA,tol,Huso,"huso,,"
Polyodon,spathula,544,NA,NA,NA,intol,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,plankt,wc,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,tol,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,intol,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sin,rheo,NA,NA,NA,NA,NA,NA,NA,NA,NA,rheo,NA,NA,NA,NA,NA,eury,NA,NA,NA,NA,NA,NA,NA,NA,tol,Polyodon,"spathula,,"
