class,order,family,genus,species
Actinopterygii,Acipenseriformes,Acipenseridae,Acipenser,Acipenser baerii
Actinopterygii,Acipenseriformes,Acipenseridae,Acipenser,Acipenser gueldenstaedtii
Actinopterygii,Acipenseriformes,Acipenseridae,Acipenser,Acipenser naccarii
Actinopterygii,Acipenseriformes,Acipenseridae,Acipenser,Acipenser nudiventris
Actinopterygii,Acipenseriformes,Acipenseridae,Acipenser,Acipenser ruthenus
Actinopterygii,Acipenseriformes,Acipenseridae,Acipenser,Acipenser stellatus
Actinopterygii,Acipenseriformes,Acipenseridae,Acipenser,Acipenser sturio
Actinopterygii,Acipenseriformes,Acipenseridae,Huso,Huso huso
Actinopterygii,Acipenseriformes,Polyodontidae,Polyodon,Polyodon spathula
Actinopterygii,Anguilliformes,Anguillidae,Anguilla,Anguilla anguilla
Actinopterygii,Anguilliformes,Anguillidae,Anguilla,Anguilla bengalensis
Actinopterygii,Anguilliformes,Congridae,Conger,Conger conger
Actinopterygii,Anguilliformes,Muraenidae,Muraena,Muraena helena
Actinopterygii,Anguilliformes,Ophichthidae,Dalophis,Dalophis imberbis
Actinopterygii,Anguilliformes,Ophichthidae,Ophichthus,Ophichthus bonaparti
Actinopterygii,Anguilliformes,Ophichthidae,Ophisurus,Ophisurus serpens
Actinopterygii,Atheriniformes,Atherinidae,Atherina,Atherina boyeri
Actinopterygii,Atheriniformes,Atherinidae,Atherina,Atherina hepsetus
Actinopterygii,Atheriniformes,Atherinidae,Atherina,Atherina presbyter
Actinopterygii,Beloniformes,Belonidae,Belone,Belone belone
Actinopterygii,Beloniformes,Belonidae,Belone,Belone svetovidovi
Actinopterygii,Clupeiformes,Clupeidae,Alosa,Alosa alosa
Actinopterygii,Clupeiformes,Clupeidae,Alosa,Alosa fallax
Actinopterygii,Clupeiformes,Clupeidae,Alosa,Alosa immaculata
Actinopterygii,Clupeiformes,Clupeidae,Alosa,Alosa tanaica
Actinopterygii,Clupeiformes,Clupeidae,Clupea,Clupea harengus
Actinopterygii,Clupeiformes,Clupeidae,Clupea,Clupea pallasii
Actinopterygii,Clupeiformes,Clupeidae,Clupeonella,Clupeonella cultriventris
Actinopterygii,Clupeiformes,Clupeidae,Sardina,Sardina pilchardus
Actinopterygii,Clupeiformes,Clupeidae,Sprattus,Sprattus sprattus
Actinopterygii,Clupeiformes,Engraulidae,Engraulis,Engraulis encrasicolus
Actinopterygii,Cypriniformes,Cobitidae,Cobitis,Cobitis bilineata
Actinopterygii,Cypriniformes,Cobitidae,Cobitis,Cobitis elongata
Actinopterygii,Cypriniformes,Cobitidae,Cobitis,Cobitis elongatoides
Actinopterygii,Cypriniformes,Cobitidae,Cobitis,Cobitis lutheri
Actinopterygii,Cypriniformes,Cobitidae,Cobitis,Cobitis strumicae
Actinopterygii,Cypriniformes,Cobitidae,Cobitis,Cobitis taenia
Actinopterygii,Cypriniformes,Cobitidae,Misgurnus,Misgurnus anguillicaudatus
Actinopterygii,Cypriniformes,Cobitidae,Misgurnus,Misgurnus fossilis
Actinopterygii,Cypriniformes,Cobitidae,Misgurnus,Misgurnus mohoity
Actinopterygii,Cypriniformes,Cobitidae,Sabanejewia,Sabanejewia balcanica
Actinopterygii,Cypriniformes,Cobitidae,Sabanejewia,Sabanejewia baltica
Actinopterygii,Cypriniformes,Cobitidae,Sabanejewia,Sabanejewia larvata
Actinopterygii,Cypriniformes,Cyprinidae,Abramis,Abramis brama
Actinopterygii,Cypriniformes,Cyprinidae,Alburnoides,Alburnoides bipunctatus
Actinopterygii,Cypriniformes,Cyprinidae,Alburnoides,Alburnoides rossicus
Actinopterygii,Cypriniformes,Cyprinidae,Alburnus,Alburnus alburnus
Actinopterygii,Cypriniformes,Cyprinidae,Alburnus,Alburnus arborella
Actinopterygii,Cypriniformes,Cyprinidae,Alburnus,Alburnus tarichi
Actinopterygii,Cypriniformes,Cyprinidae,Ballerus,Ballerus ballerus
Actinopterygii,Cypriniformes,Cyprinidae,Ballerus,Ballerus sapa
Actinopterygii,Cypriniformes,Cyprinidae,Barbus,Barbus balcanicus
Actinopterygii,Cypriniformes,Cyprinidae,Barbus,Barbus barbus
Actinopterygii,Cypriniformes,Cyprinidae,Barbus,Barbus borysthenicus
Actinopterygii,Cypriniformes,Cyprinidae,Barbus,Barbus meridionalis
Actinopterygii,Cypriniformes,Cyprinidae,Barbus,Barbus peloponnesius
Actinopterygii,Cypriniformes,Cyprinidae,Barbus,Barbus plebejus
Actinopterygii,Cypriniformes,Cyprinidae,Blicca,Blicca bjoerkna
Actinopterygii,Cypriniformes,Cyprinidae,Carassius,Carassius auratus
Actinopterygii,Cypriniformes,Cyprinidae,Carassius,Carassius carassius
Actinopterygii,Cypriniformes,Cyprinidae,Carassius,Carassius gibelio
Actinopterygii,Cypriniformes,Cyprinidae,Chondrostoma,Chondrostoma nasus
Actinopterygii,Cypriniformes,Cyprinidae,Chondrostoma,Chondrostoma soetta
Actinopterygii,Cypriniformes,Cyprinidae,Ctenopharyngodon,Ctenopharyngodon idella
Actinopterygii,Cypriniformes,Cyprinidae,Cyprinus,Cyprinus carpio
Actinopterygii,Cypriniformes,Cyprinidae,Cyprinus,Cyprinus rubrofuscus
Actinopterygii,Cypriniformes,Cyprinidae,Gobio,Gobio cynocephalus
Actinopterygii,Cypriniformes,Cyprinidae,Gobio,Gobio gobio
Actinopterygii,Cypriniformes,Cyprinidae,Gobio,Gobio obtusirostris
Actinopterygii,Cypriniformes,Cyprinidae,Hypophthalmichthys,Hypophthalmichthys molitrix
Actinopterygii,Cypriniformes,Cyprinidae,Hypophthalmichthys,Hypophthalmichthys nobilis
Actinopterygii,Cypriniformes,Cyprinidae,Leucaspius,Leucaspius delineatus
Actinopterygii,Cypriniformes,Cyprinidae,Leuciscus,Leuciscus aspius
Actinopterygii,Cypriniformes,Cyprinidae,Leuciscus,Leuciscus burdigalensis
Actinopterygii,Cypriniformes,Cyprinidae,Leuciscus,Leuciscus idus
Actinopterygii,Cypriniformes,Cyprinidae,Leuciscus,Leuciscus leuciscus
Actinopterygii,Cypriniformes,Cyprinidae,Leucos,Leucos aula
Actinopterygii,Cypriniformes,Cyprinidae,Parachondrostoma,Parachondrostoma toxostoma
Actinopterygii,Cypriniformes,Cyprinidae,Pelecus,Pelecus cultratus
Actinopterygii,Cypriniformes,Cyprinidae,Petroleuciscus,Petroleuciscus borysthenicus
Actinopterygii,Cypriniformes,Cyprinidae,Phoxinus,Phoxinus phoxinus
Actinopterygii,Cypriniformes,Cyprinidae,Phoxinus,Phoxinus septimaniae
Actinopterygii,Cypriniformes,Cyprinidae,Pimephales,Pimephales promelas
Actinopterygii,Cypriniformes,Cyprinidae,Protochondrostoma,Protochondrostoma genei
Actinopterygii,Cypriniformes,Cyprinidae,Pseudorasbora,Pseudorasbora parva
Actinopterygii,Cypriniformes,Cyprinidae,Rhodeus,Rhodeus amarus
Actinopterygii,Cypriniformes,Cyprinidae,Rhodeus,Rhodeus sericeus
Actinopterygii,Cypriniformes,Cyprinidae,Rhynchocypris,Rhynchocypris percnurus
Actinopterygii,Cypriniformes,Cyprinidae,Romanogobio,Romanogobio albipinnatus
Actinopterygii,Cypriniformes,Cyprinidae,Romanogobio,Romanogobio belingi
Actinopterygii,Cypriniformes,Cyprinidae,Romanogobio,Romanogobio kesslerii
Actinopterygii,Cypriniformes,Cyprinidae,Romanogobio,Romanogobio uranoscopus
Actinopterygii,Cypriniformes,Cyprinidae,Romanogobio,Romanogobio vladykovi
Actinopterygii,Cypriniformes,Cyprinidae,Rutilus,Rutilus meidingeri
Actinopterygii,Cypriniformes,Cyprinidae,Rutilus,Rutilus pigus
Actinopterygii,Cypriniformes,Cyprinidae,Rutilus,Rutilus rutilus
Actinopterygii,Cypriniformes,Cyprinidae,Rutilus,Rutilus virgo
Actinopterygii,Cypriniformes,Cyprinidae,Scardinius,Scardinius erythrophthalmus
Actinopterygii,Cypriniformes,Cyprinidae,Scardinius,Scardinius hesperidicus
Actinopterygii,Cypriniformes,Cyprinidae,Squalius,Squalius cephalus
Actinopterygii,Cypriniformes,Cyprinidae,Squalius,Squalius squalus
Actinopterygii,Cypriniformes,Cyprinidae,Telestes,Telestes souffia
Actinopterygii,Cypriniformes,Cyprinidae,Tinca,Tinca tinca
Actinopterygii,Cypriniformes,Cyprinidae,Vimba,Vimba vimba
Actinopterygii,Cypriniformes,Nemacheilidae,Barbatula,Barbatula barbatula
Actinopterygii,Cyprinodontiformes,Cyprinodontidae,Aphanius,Aphanius fasciatus
Actinopterygii,Cyprinodontiformes,Poeciliidae,Gambusia,Gambusia affinis
Actinopterygii,Cyprinodontiformes,Poeciliidae,Gambusia,Gambusia holbrooki
Actinopterygii,Cyprinodontiformes,Poeciliidae,Poecilia,Poecilia reticulata
Actinopterygii,Esociformes,Esocidae,Esox,Esox aquitanicus
Actinopterygii,Esociformes,Esocidae,Esox,Esox lucius
Actinopterygii,Esociformes,Esocidae,Esox,Esox reichertii
Actinopterygii,Esociformes,Umbridae,Umbra,Umbra krameri
Actinopterygii,Esociformes,Umbridae,Umbra,Umbra pygmaea
Actinopterygii,Gadiformes,Gadidae,Gadus,Gadus macrocephalus
Actinopterygii,Gadiformes,Gadidae,Gadus,Gadus morhua
Actinopterygii,Gadiformes,Gadidae,Merlangius,Merlangius merlangus
Actinopterygii,Gadiformes,Gadidae,Pollachius,Pollachius pollachius
Actinopterygii,Gadiformes,Gadidae,Raniceps,Raniceps raninus
Actinopterygii,Gadiformes,Gadidae,Trisopterus,Trisopterus capelanus
Actinopterygii,Gadiformes,Gadidae,Trisopterus,Trisopterus luscus
Actinopterygii,Gadiformes,Gadidae,Trisopterus,Trisopterus minutus
Actinopterygii,Gadiformes,Lotidae,Ciliata,Ciliata mustela
Actinopterygii,Gadiformes,Lotidae,Ciliata,Ciliata septentrionalis
Actinopterygii,Gadiformes,Lotidae,Enchelyopus,Enchelyopus cimbrius
Actinopterygii,Gadiformes,Lotidae,Gaidropsarus,Gaidropsarus mediterraneus
Actinopterygii,Gadiformes,Lotidae,Gaidropsarus,Gaidropsarus vulgaris
Actinopterygii,Gadiformes,Lotidae,Lota,Lota lota
Actinopterygii,Gadiformes,Phycidae,Phycis,Phycis phycis
Actinopterygii,Gasterosteiformes,Gasterosteidae,Gasterosteus,Gasterosteus aculeatus
Actinopterygii,Gasterosteiformes,Gasterosteidae,Gasterosteus,Gasterosteus gymnurus
Actinopterygii,Gasterosteiformes,Gasterosteidae,Pungitius,Pungitius laevis
Actinopterygii,Gasterosteiformes,Gasterosteidae,Pungitius,Pungitius platygaster
Actinopterygii,Gasterosteiformes,Gasterosteidae,Pungitius,Pungitius pungitius
Actinopterygii,Gasterosteiformes,Gasterosteidae,Spinachia,Spinachia spinachia
Actinopterygii,Gobiesociformes,Gobiesocidae,Lepadogaster,Lepadogaster candolii
Actinopterygii,Osmeriformes,Osmeridae,Osmerus,Osmerus eperlanus
Actinopterygii,Perciformes,Ammodytidae,Ammodytes,Ammodytes marinus
Actinopterygii,Perciformes,Ammodytidae,Ammodytes,Ammodytes tobianus
Actinopterygii,Perciformes,Ammodytidae,Gymnammodytes,Gymnammodytes cicerelus
Actinopterygii,Perciformes,Ammodytidae,Hyperoplus,Hyperoplus lanceolatus
Actinopterygii,Perciformes,Apogonidae,Apogon,Apogon imberbis
Actinopterygii,Perciformes,Blenniidae,Aidablennius,Aidablennius sphynx
Actinopterygii,Perciformes,Blenniidae,Coryphoblennius,Coryphoblennius galerita
Actinopterygii,Perciformes,Blenniidae,Lipophrys,Lipophrys pholis
Actinopterygii,Perciformes,Blenniidae,Lipophrys,Lipophrys trigloides
Actinopterygii,Perciformes,Blenniidae,Microlipophrys,Microlipophrys canevae
Actinopterygii,Perciformes,Blenniidae,Microlipophrys,Microlipophrys dalmatinus
Actinopterygii,Perciformes,Blenniidae,Parablennius,Parablennius gattorugine
Actinopterygii,Perciformes,Blenniidae,Parablennius,Parablennius incognitus
Actinopterygii,Perciformes,Blenniidae,Parablennius,Parablennius pilicornis
Actinopterygii,Perciformes,Blenniidae,Parablennius,Parablennius rouxi
Actinopterygii,Perciformes,Blenniidae,Parablennius,Parablennius sanguinolentus
Actinopterygii,Perciformes,Blenniidae,Parablennius,Parablennius tentacularis
Actinopterygii,Perciformes,Blenniidae,Parablennius,Parablennius zvonimiri
Actinopterygii,Perciformes,Blenniidae,Salaria,Salaria fluviatilis
Actinopterygii,Perciformes,Blenniidae,Salaria,Salaria pavo
Actinopterygii,Perciformes,Bramidae,Brama,Brama brama
Actinopterygii,Perciformes,Callionymidae,Callionymus,Callionymus lyra
Actinopterygii,Perciformes,Callionymidae,Callionymus,Callionymus pusillus
