Species,IUCN_status
Acipenser gueldenstaedtii,CR
Acipenser naccarii,CR
Acipenser nudiventris,CR
Acipenser oxyrinchus,NE
Acipenser persicus,CR
Acipenser ruthenus,VU
Acipenser stellatus,CR
Acipenser sturio,CR
Huso huso,CR
Anguilla anguilla,CR
Atherina boyeri,LC
Alosa agone,LC
Alosa algeriensis,DD
Alosa alosa,LC
Alosa caspia,LC
Alosa fallax,LC
Alosa immaculata,VU
Alosa kessleri,LC
Alosa killarnensis,CR
Alosa macedonica,VU
Alosa maeotica,LC
Alosa sp. nov. ‘Skadar’,VU
Alosa tanaica,LC
Alosa vistonica,CR
Alosa volgensis,EN
Clupeonella abrau,CR
Clupeonella caspia,LC
Clupeonella cultriventris,LC
Clupeonella tscharchalensis,LC
Barbatula barbatula,LC
Barbatula quignardi,LC
Barbatula sturanyi,LC
Barbatula zetensis,LC
Oxynoemacheilus bureschi,LC
Oxynoemacheilus merga,LC
Oxynoemacheilus pindus,VU
Oxynoemacheilus theophilii,CR
Cobitis arachthosensis,EN
Cobitis bilineata,LC
Cobitis calderoni,EN
Cobitis dalmatina,VU
Cobitis elongata,LC
Cobitis elongatoides,LC
Cobitis hellenica,EN
Cobitis illyrica,CR
Cobitis jadovensis,CR
Cobitis melanoleuca,LC
Cobitis meridionalis,VU
Cobitis narentana,VU
Cobitis ohridana,LC
Cobitis paludica,VU
Cobitis pontica,NT
Cobitis puncticulata,CR
Cobitis punctilineata,VU
Cobitis stephanidisi,CR
Cobitis strumicae,LC
Cobitis taenia,LC
Cobitis tanaitica,LC
Cobitis taurica,CR
Cobitis trichonica,EN
Cobitis vardarensis,LC
Cobitis vettonica,EN
Cobitis zanandreai,VU
Misgurnus fossilis,LC
Sabanejewia balcanica,LC
Sabanejewia baltica,LC
Sabanejewia bulgarica,LC
Sabanejewia caucasica,LC
Sabanejewia kubanica,LC
Sabanejewia larvata,LC
Sabanejewia romanica,NT
Sabanejewia vallachica,NT
Abramis brama,LC
Achondrostoma arcasii,VU
Achondrostoma occidentale,EN
Achondrostoma oligolepis,LC
Achondrostoma salmantinum,EN
Alburnoides bipunctatus,LC
Alburnoides eichwaldii,LC
Alburnoides gmelini,LC
Alburnoides kubanicus,LC
Alburnoides maculatus,VU
Alburnoides ohridanus,VU
Alburnoides prespensis,VU
Alburnoides rossicus,LC
Alburnus albidus,VU
Alburnus alburnus,LC
Alburnus arborella,LC
Alburnus belvica,VU
Alburnus chalcoides,LC
Alburnus hohenackeri,LC
Alburnus istanbulensis,LC
Alburnus leobergi,LC
Alburnus macedonicus,CR
Alburnus mandrensis,CR
Alburnus mento,LC
Alburnus mentoides,EN
Alburnus neretvae,LC
Alburnus sarmaticus,EN
Alburnus schischkovi,EN
Alburnus scoranza,LC
Alburnus sp. nov. ‘Volvi’,NT
Alburnus thessalicus,LC
Alburnus vistonicus,CR
Alburnus volviticus,EN
Anaecypris hispanica,EN
Aspius aspius,LC
Aulopyge huegelii,EN
Ballerus ballerus,LC
Ballerus sapa,LC
Barbus balcanicus,LC
Barbus barbus,LC
Barbus bergi,LC
Barbus caninus,EN
Barbus carpathicus,LC
Barbus ciscaucasicus,LC
Barbus cyclolepis,LC
Barbus euboicus,CR
Barbus haasi,VU
Barbus kubanicus,LC
Barbus macedonicus,DD
Barbus meridionalis,NT
Barbus peloponnesius,LC
Barbus pergamonensis,EN
Barbus petenyi,LC
Barbus plebejus,LC
Barbus prespensis,VU
Barbus rebeli,LC
Barbus sperchiensis,NT
Barbus strumicae,LC
Barbus tauricus,VU
Barbus tyberinus,NT
Barbus waleckii,LC
Blicca bjoerkna,LC
Carassius carassius,LC
Chondrostoma knerii,VU
Chondrostoma kubanicum,LC
Chondrostoma nasus,LC
Chondrostoma oxyrhynchum,LC
Chondrostoma phoxinus,EN
Chondrostoma prespense,VU
Chondrostoma scodrense,EX
Chondrostoma soetta,EN
Chondrostoma vardarense,NT
Chondrostoma variabile,LC
Cyprinus carpio,VU
Delminichthys adspersus,VU
Delminichthys ghetaldii,VU
Delminichthys jadovensis,CR
Delminichthys krbavensis,CR
Gobio alverniae,LC
Gobio brevicirris,LC
Gobio bulgaricus,LC
Gobio carpathicus,LC
Gobio delyamurei,CR
Gobio feraeensis,VU
Gobio gobio,LC
Gobio holurus,LC
Gobio kovatschevi,VU
Gobio krymensis,VU
Gobio kubanicus,LC
Gobio lozanoi,LC
Gobio obtusirostris,LC
Gobio occitaniae,LC
Gobio ohridanus,VU
Gobio sarmaticus,LC
Gobio skadarensis,EN
Gobio volgensis,LC
Iberochondrostoma almacai,CR
Iberochondrostoma lemmingii,VU
Iberochondrostoma lusitanicus,CR
Iberochondrostoma oretanum,CR
Iberocypris alburnoides,VU
Iberocypris palaciosi,CR
Ladigesocypris ghigii,VU
Leucaspius delineatus,LC
Leuciscus bearnensis,LC
Leuciscus burdigalensis,LC
Leuciscus danilewskii,LC
Leuciscus idus,LC
Leuciscus leuciscus,LC
Leuciscus oxyrrhis,LC
Luciobarbus albanicus,LC
Luciobarbus bocagei,LC
Luciobarbus brachycephalus,CR
Luciobarbus capito,VU
Luciobarbus comizo,VU
Luciobarbus graecus,EN
Luciobarbus graellsii,LC
Luciobarbus guiraonis,VU
Luciobarbus microcephalus,VU
Luciobarbus sclateri,LC
Luciobarbus steindachneri,VU
Pachychilon macedonicum,DD
Pachychilon pictum,LC
Parachondrostoma arrigonis,CR
Parachondrostoma miegii,LC
Parachondrostoma toxostoma,VU
Parachondrostoma turiense,EN
Pelasgus epiroticus,CR
Pelasgus laconicus,CR
Pelasgus marathonicus,NT
Pelasgus minutus,DD
Pelasgus prespensis,EN
Pelasgus stymphalicus,LC
Pelasgus thesproticus,NT
Pelecus cultratus,LC
Petroleuciscus borysthenicus,LC
Petroleuciscus smyrnaeus,EN
Phoxinellus alepidotus,EN
Phoxinellus dalmaticus,CR
Phoxinellus pseudalepidotus,VU
Phoxinus bigerri,LC
Phoxinus colchicus,LC
Phoxinus lumaireul,LC
Phoxinus phoxinus,LC
Phoxinus septimaniae,LC
Phoxinus strandjae,EN
Phoxinus strymonicus,EN
Protochondrostoma genei,LC
Pseudochondrostoma duriense,VU
Pseudochondrostoma polylepis,LC
Pseudochondrostoma willkommii,VU
Rhodeus amarus,LC
Rhodeus meridionalis,LC
Rhynchocypris czekanowskii,NA
Rhynchocypris percnurus,NA
Romanogobio albipinnatus,LC
Romanogobio antipai,EX
Romanogobio belingi,LC
Romanogobio benacensis,EN
Romanogobio ciscaucasicus,LC
Romanogobio elimeius,LC
Romanogobio kesslerii,LC
Romanogobio parvus,LC
Romanogobio pentatrichus,LC
Romanogobio tanaiticus,LC
Romanogobio uranoscopus,LC
Romanogobio vladykovi,LC
Rutilus aula,LC
Rutilus basak,LC
Rutilus caspicus,LC
Rutilus frisii,LC
Rutilus heckelii,LC
Rutilus karamani,LC
Rutilus meidingeri,EN
Rutilus ohridanus,LC
Rutilus panosi,VU
Rutilus pigus,LC
Rutilus prespensis,VU
Rutilus rubilio,NT
Rutilus rutilus,LC
Rutilus virgo,LC
Rutilus ylikiensis,EN
Scardinius acarnanicus,NT
Scardinius dergle,NT
Scardinius erythrophthalmus,LC
Scardinius graecus,CR
Scardinius hesperidicus,LC
Scardinius knezevici,LC
Scardinius plotizza,LC
Scardinius racovitzai,CR
Scardinius scardafa,CR
Squalius albus,LC
Squalius aphipsi,LC
Squalius aradensis,VU
Squalius carolitertii,LC
Squalius castellanus,EN
Squalius cephalus,LC
Squalius cii,EN
Squalius illyricus,NT
Squalius janae,VU
Squalius keadicus,EN
Squalius laietanus,LC
Squalius lucumonis,EN
Squalius malacitanus,EN
Squalius microlepis,EN
Squalius moreoticus,EN
Squalius orpheus,LC
Squalius pamvoticus,LC
Squalius peloponnensis,LC
Squalius platyceps,LC
Squalius prespensis,LC
Squalius pyrenaicus,NT
Squalius sp. nov. ‘Aoos’,NT
Squalius sp. nov. ‘Evia’,CR
Squalius squalus,LC
Squalius svallize,VU
Squalius tenellus,EN
Squalius torgalensis,EN
Squalius valentinus,VU
Squalius vardarensis,LC
Squalius zrmanjae,NT
Telestes beoticus,EN
Telestes croaticus,EN
Telestes fontinalis,CR
Telestes metohiensis,VU
Telestes montenigrinus,LC
Telestes muticellus,LC
Telestes pleurobipunctatus,LC
Telestes polylepis,CR
Telestes souffia,LC
Telestes sp. nov.,EN
Telestes turskyi,CR
Telestes ukliva,EX
Tinca tinca,LC
Tropidophoxinellus hellenicus,LC
Tropidophoxinellus spartiaticus,VU
Vimba melanops,DD
Vimba vimba,LC
Aphanius almiriensis,CR
Aphanius baeticus,EN
Aphanius fasciatus,LC
Aphanius iberus,EN
Valencia hispanica,CR
Valencia letourneuxi,CR
Esox lucius,LC
Umbra krameri,VU
Lota lota,LC
Gasterosteus aculeatus,LC
Gasterosteus crenobiontus,EX
Gasterosteus gymnurus,LC
Gasterosteus islandicus,LC
Pungitius hellenicus,CR
Pungitius laevis,LC
Pungitius platygaster,LC
Pungitius pungitius,LC
Chelon labrosus,LC
Liza aurata,LC
Liza ramada,LC
Liza saliens,LC
Mugil cephalus,LC
Hypomesus olidus,NA
Osmerus dentex,LC
Osmerus eperlanus,LC
Salaria economidisi,CR
Salaria fluviatilis,LC
Babka gymnotrachelus,LC
Benthophiloides brauneri,DD
Benthophilus durrelli,LC
Benthophilus granulosus,LC
Benthophilus leobergius,LC
Benthophilus macrocephalus,LC
Benthophilus magistri,LC
Benthophilus mahmudbejovi,LC
Benthophilus nudus,LC
Benthophilus stellatus,LC
Caspiosoma caspium,LC
Economidichthys pygmaeus,LC
Economidichthys trichonis,EN
Knipowitschia bergi,LC
Knipowitschia cameliae,CR
Knipowitschia caucasica,LC
Knipowitschia croatica,VU
Knipowitschia goerneri,DD
Knipowitschia longecaudata,LC
Knipowitschia milleri,CR
Knipowitschia montenegrina,DD
Knipowitschia mrakovcici,CR
Knipowitschia panizzae,LC
Knipowitschia punctatissima,NT
Knipowitschia radovici,VU
Knipowitschia thessala,EN
Mesogobius batrachocephalus,LC
Neogobius fluviatilis,LC
Neogobius melanostomus,LC
Neogobius pallasi,LC
Padogobius bonelli,LC
Padogobius nigricans,VU
Pomatoschistus canestrinii,LC
Pomatoschistus microps,LC
Pomatoschistus montenegrensis,LC
Ponticola constructor,LC
Ponticola eurycephalus,LC
Ponticola gorlap,LC
Ponticola kessleri,LC
Ponticola syrman,LC
Proterorhinus nasalis,LC
Proterorhinus semilunaris,LC
Proterorhinus tataricus,CR
Dicentrarchus labrax,LC
Gymnocephalus acerina,LC
Gymnocephalus ambriaelacus,CR
Gymnocephalus baloni,LC
Gymnocephalus cernua,LC
Gymnocephalus schraetser,LC
Perca fluviatilis,LC
