NOM,WATERWAY,NAVIGATION,fid,id
Lock Rivage-en-Pot,Ourthe,48.5 x 5.1 m — height : 3.13,"172","172"
Lock Kremenchuk,,,"442","442"
Olen Lock (smaller chambers),Albertkanaal,,"773","773"
Lock Neuves-Maisons,Moselle,"185 x 12 m — height : 7,1 m","100","100"
Lock La Cave,Haute-Seine,"185 x 12 m two chambers — height : 2,05 m","90","90"
Lock Wanne-Eickel RB,Rhein-Herne Kanal,163 x 10 m — height : 8.1 m,"779","779"
Marckolsheim Locks,Rhin,185 x 24 m and 185 x 12 (parallel chambers) — height : 13.80 m,"198","198"
Lock Volta Grimana,,,"391","391"
Lock Mühlhausen,Main-Donau Kanal,,"220","220"
Lock Steinbach,Main,300 x 12 m — height : 5.14 m,"209","209"
Lock Wintrich,Mosel,170  x 12 m — height : 7.5 m,"116","116"
Lock Rothensee,Mittellandkanal - Elbe Branch,190 x 12.5m — height : 16 m,"640","640"
Lock Wilhering-Ottensheim (parallel chambers),Donau,,"231","231"
Lock Gleesen,Dortmund-Ems Kanal,163 x 10 m — height : 6.37 m,"716","716"
Lock Stvanice (small chamber),,115 x 11 m,"604","604"
Lock Les Fontinettes,Liaison Dunkerque-Escaut,"144,6 x 12 m","138","138"
Lock Wien-Freudenau,Donau,,"239","239"
Lock Serrig,Saar,,"112","112"
Lock Kriegenbrunn,Main-Donau Kanal,,"212","212"
Lock Genk,Albertkanaal,200 x 24 m — height : 10.1 m@@2 small chambers 136 x 16 m,"739","739"
Lock Kanev,,,"448","448"
Lock Gabcikovo,,,"248","248"
Lock Redzin (parallel chambers),,,"407","407"
Locks Heel,Maas,142 x 16 m,"747","747"
Lock Ratowice,,,"405","405"
Lock Heumen,Maas-Waalkanaal,270 x 16 m,"838","838"
Lock Obr¡stv¡,,,"613","613"
Lock Turov,,,"606","606"
Lock Marquion-Bourlon,Canal Seine-Nord Europe,195 x 12 m,"130","130"
Locks Grave,Maas,,"838","838"
Lock Vezoult,Petite Seine,"121 x 10,5 m — height : 1,16 m","916","916"
Lock Vrane nad Vltavou (large chamber),,134 x 12 m,"604","604"
Lock Ybbs-Persenbeug (parallel chambers),Donau,,"234","234"
Lock Vrane nad Vltavou (small chamber),,85 x 12 m,"604","604"
Lock Stechovice,,118.4 x 12 m,"594","594"
