BB_PORT_CO,BB_COUNTRY,BB_MAIN_EW,BB_PORT_NA,BB_PORT__1,CARGOHACA,CARGOHAE20,CARGOHAE40,CARGORORO,RAILACCESS,PRIV_PORT,BB_COMMENT,BB_COMME_1,LO_LOCODE,fid,id
P 01-14,Netherlands,E 01,"Maassluis (Nieuwe Waterweg, 1 018.7 km)","Maassluis (Nieuwe Waterweg, 1018,7 km)",0.5-3 Mt,Available,Available,Not available,Not available,No,,,NLMSL,"820","820"
P 10-41,France,E 10,"Ile Napoléon (Niffer-Mulhouse Canal, 37.6 km)","Ile Napoléon (Canal Niffer – Mulhouse, 37,6 km)",0.5-3 Mt,Not available,Not available,Not available,Available,No,"Oil products, minerals, fertilizers","Produits pétroliers, minéraux, engrais",,"53","53"
P 04-02,Belgium,E 04,"Beveren (Beneden Zeeschelde, 22.9 km)","Beveren (Beneden-Zeeschelde, 22,9 km)",No information,No information,No information,No information,No information,No,,,,"769","769"
P 01-09ter,Netherlands,E 01,"Meerlo/Wanssum (Maas, 133.0 km)","Meerlo/Wanssum (Maas, 133,0 km)",0.5-3 Mt,Available,Available,Not available,Not available,No,,,NLMEW,"753","753"
P 10-21,Germany,E 10,"Andernach  (Rhine, 612.0 km)","Andernach  (Rhin, 612,0 km)",0.5-3 Mt,Not available,Not available,Not available,Available,No,,,DEAND,"125","125"
P 01-09quater,Netherlands,E 01,"Gennep (Maas, 153.0 km)","Gennep (Maas, 153,0 km)",3-10 Mt,Not available,Not available,Not available,Not available,No,,,NLGEN,"829","829"
P 80-43,Hungary,E 80,"Szàzhalombatta (Danube, 1 618.7 km)","Szàzhalombatta (Danube, 1 618,7 km)",0.5-3 Mt,No information,No information,No information,No information,No,Oil products,Produits pétroliers,,"259","259"
P 20-04-01,Germany,E 20-04,"Halle-Trotha (Saale, 86.0 km)","Halle-Trotha (Saale, 86,0 km)",0.5-3 Mt,Not available,Not available,Not available,Not available,No,,,,"631","631"
P 80-32,Germany,E 80,"Deggendorf (Danube, 2 281.0–2 284.0 km)","Deggendorf (Danube, 2 281,0–2284,0 km)",0.5-3 Mt,Available,Available,Not available,Not available,Yes,,,,"225","225"
P 01-10ter,Netherlands,E 01,"Waalwijk (Bergsche Maas, 236.0 km)","Waalwijk (Bergsche Maas, 236,0 km)",0.5-3 Mt,Available,Available,Not available,Not available,No,,,NLWLK,"842","842"
P 04-05,Belgium,E 04,"Bruxelles (Bruxelles-Schelde Canal, 81.5 km)","Bruxelles (Canal Bruxelles-Escaut, 81,5 km)",No information,No information,No information,No information,No information,No,,,BEBRU,"174","174"
P 81-07,Slovakia,E 81,Dubnica (Váh),Dubnica (Váh),0.5-3 Mt,No information,No information,No information,No information,No,Port is planned,Port prévu,,"264","264"
P 80-17,Germany,E 80,"Frankfurt (Main, 22.0–29.0 km)","Frankfurt (Main, 22,0–29,0 km)",0.5-3 Mt,Available,Available,Not available,Available,Yes,,,,"180","180"
P 80-08,Luxembourg,E 80,"Mertert (Moselle, 208.0 km)","Mertert (Moselle, 208,0 km)",0.5-3 Mt,Not available,Not available,Not available,Available,No,"Oil products, wood shavings, construction materials, coal, agricultural products/fertilizers","Produits pétroliers, copeaux de bois, matériaux de construction, charbon, produits agricoles/engrais",,"111","111"
P 80-27,Germany,E 80,"Schweinfurt (Main, 330.0 km)","Schweinfurt (Main, 330,0 km)",No information,Not available,Not available,Not available,Available,No,,,,"213","213"
P 91-03-04,Italy,E 91-03,"Verona Legnago (Mantova-Adriatic Sea Canal,  65.0 km)","Verona Legnago (Canal Mantova – mer Adriatique, 65,0 km)",0.5-3 Mt,No information,No information,No information,No information,No,,,,"384","384"
P 91-04bis,Italy,E 91,Cremona-Casalmaggiore (Po),Cremona-Casalmaggiore (Pô),0.5-3 Mt,No information,No information,No information,No information,No,,,,"380","380"
P 80-51,Romania,E 80,"Turnu Severin (Danube, 931.0 km)","Turnu Severin (Danube, 931,0 km)",0.5-3 Mt,Not available,Not available,Available,Available,No,,,,"321","321"
P 01-06,Netherlands,E 01,"Stein (Maas, 21.9 km)","Stein (Maas, 21,9 km)",0.5-3 Mt,Available,Available,Not available,Available,No,,,NLSTI,"751","751"
P 10-11,Germany,E 10,"Homberg, Sachtleben (Rhine, 774.0 km)","Homberg, Sachtleben (Rhin, 774,0 km)",>10 Mt,Available,Available,Available,Available,Yes,,,DEHBO,"783","783"
P 10-43,France,E 10,"Pagny  (Saône, 192.75 km)","Pagny  (Saône, 192,75 km)",0.5-3 Mt,Available,Available,Available,Not available,No,,,,"43","43"
P 80-07,France,E 80,"Thionville-Illange (Moselle, 271.9–270.1 km)","Thionville-Illange (Moselle, 271,9–270,1 km)",0.5-3 Mt,Available,Available,Not available,Not available,No,,,,"106","106"
P 40-08,Ukraine,E 40,"Dniprodzerzhynsk (Dnipro, 429.0 km)","Dniprodzerzhynsk (Dnipro, 429,0 km)",3-10 Mt,Not available,Not available,Not available,Available,No,Bulk and general cargo,Marchandises diverses et en vrac,UADZK,"435","435"
P 91-03-02,Italy,E 91-03,Mantova Roncoferraro/Governolo (Mantova-Adriatic Sea Canal),Mantova Roncoferraro/Governolo (Canal Mantova – mer Adriatique),0.5-3 Mt,No information,No information,No information,No information,No,,,,"382","382"
P 90-03-02,Moldova,E 90-03,"Bender (Nistru, 228.0 km)","Bender (Nistru, 228,0 km)",0.5-3 Mt,Not available,Not available,Not available,Available,No,Dry bulk and general cargoes,Vrac sec et marchandises diverses,,"4","4"
P 10-05-01,Germany,E 10-05,"Mühlheim (Ruhr, 8.0 km)","Mühlheim (Ruhr, 8,0 km)",0.5-3 Mt,Available,Available,No information,No information,No,,,DEMUH,"784","784"
P 01-08,Netherlands,E 01,"Maasbracht (Maas, 41.8 km)","Maasbracht (Maas, 41,8 km)",0.5-3 Mt,Not available,Not available,Not available,Available,No,,,NLMSB,"747","747"
P 80-49,Serbia,E 80,"Smederevo (Danube, 1 116.3 km)","Smederevo (Danube, 1116,3 km)",0.5-3 Mt,No information,No information,No information,Available,No,,,RSSMO ,"313","313"
P 11-04,Netherlands,E 11,"Utrecht (Amsterdam-Rijnkanaal, 35.0 km)","Utrecht (Amsterdam-Rijnkanaal, 35,0 km)",3-10 Mt,Available,Available,Not available,Available,No,,,NLUTC,"821","821"
P 40-02-01,Ukraine,E 40-02,"Mykolaiv, river port (Pivdenny Buh, 40.0 km)","Mykolaiv, port fluvial (Pivdenny Buh, 40,0 km)",0.5-3 Mt,No information,No information,No information,No information,No,"Cereals, scrap, minerals","Céréales, ferraille, minéraux",UAZUA,"373","373"
P 80-47bis,Serbia,E 80,"Backa Palanka (Danube, 1 295.0 km)","Backa Palanka (Danube, 1295,0 km)",0.5-3 Mt,Available,No information,No information,Available,No,,,RSBPA ,"280","280"
P 10-10,Germany,E 10,"Schwelgern  (Rhine, 790.0 km)","Schwelgern  (Rhin, 790,0 km)",>10 Mt,No information,No information,No information,No information,Yes,,,,"783","783"
P 80-36,Austria,E 80,"Krems (Danube, 1998.0 km)","Krems (Danube, 1 998,0 km)",0.5-3 Mt,Available,Not available,Not available,Available,No,All cargoes but oil and oil products,Toutes marchandises sauf pétrole et produits pétroliers,,"237","237"
P 01-09quinqies,Netherlands,E 01,"Cuijk (Maas, 167.0 km)","Cuijk (Maas, 167,0 km)",3-10 Mt,Not available,Not available,Not available,Not available,No,,,NLCUY,"829","829"
P 14-04,Germany,E 14,"Bremen (Weser, 4.0–8.0 km)","Bremen (Weser, 4,0–8,0 km)",3-10 Mt,Available,Available,Available,Available,No,,,DEBRE,"692","692"
P 10-30,Germany,E 10,"Ludwigshafen  (Rhine, 420.0 km)","Ludwigshafen  (Rhin, 420,0 km)",3-10 Mt,Available,Available,Available,Available,No,,,DELUH,"201","201"
P 10-09,Germany,E 10,"Walsum-Sud  (Rhine, 791.0 km)","Walsum-Sud  (Rhin, 791,0 km)",0.5-3 Mt,No information,No information,No information,No information,Yes,,,,"785","785"
P 10-03-05,Germany,E 10-03,"Wanne-Eickel (Rhein-Herne Kanal, 32.0 km)","Wanne-Eickel (Rhein-Herne Kanal, 32,0 km)",0.5-3 Mt,No information,No information,No information,Available,No,,,,"779","779"
P 14-03,Germany,E 14,"Brake (Weser, 41.0 km)","Brake (Weser, 41,0 km)",0.5-3 Mt,Available,Available,Not available,Available,No,,,DEBKE,"695","695"
P 81-04,Slovakia,E 81,Pieštany (Váh),Pieštany (Váh),0.5-3 Mt,No information,No information,No information,No information,No,Port is planned,Port prévu,,"251","251"
P 05-06,Belgium,E 05,"Genk (Albertkanaal, 42.9 km)","Genk (Canal Albert, 42,9 km)",0.5-3 Mt,No information,No information,No information,No information,No,,,BEGNK,"739","739"
P 10-04,Germany,E 10,"Emmerich  (Rhine, 852.0 km)","Emmerich  (Rhin, 852,0 km)",0.5-3 Mt,No information,No information,No information,Available,No,,,DEEMM,"830","830"
P 70-05,Germany,E 70,"Hannover (Mittellandkanal, 155.0–159.0 km)","Hannover (Mittellandkanal, 155,0–159,0 km)",0.5-3 Mt,Available,Available,Not available,Available,No,,,,"686","686"
P 70-14,Germany,E 70,"Spandau South Harbour (Untere Havel-Wasserstraße, 2.0 km)","Port de Spandau-Sud (Untere Havel-Wasserstraße, 2,0 km)",0.5-3 Mt,Not available,Not available,Not available,Available,No,,,,"601","601"
P 10-22,Germany,E 10,"Neuwied  (Rhine, 606.0 km)","Neuwied  (Rhin, 606,0 km)",No information,Not available,Not available,Not available,Available,No,,,,"125","125"
