species,peter,iucn,fre,googling,status
Anguilla bengalensis,NA,NA,NA,MARINE,drop
Conger conger,NA,NA,NA,MARINE,drop
Muraena helena,NA,NA,NA,MARINE,drop
Dalophis imberbis,NA,NA,NA,MARINE,drop
Ophichthus bonaparti,NA,NA,NA,MARINE,drop
Ophisurus serpens,NA,NA,NA,MARINE,drop
Belone belone,NA,NA,NA,MARINE,drop
Belone svetovidovi,NA,NA,NA,MARINE,drop
Clupea harengus,NA,NA,NA,MARINE,drop
Clupea pallasii,NA,NA,NA,MARINE,drop
Sardina pilchardus,NA,NA,NA,MARINE,drop
Sprattus sprattus,NA,NA,NA,MARINE,drop
Engraulis encrasicolus,NA,NA,NA,MARINE,drop
Cobitis lutheri,NA,NA,NA,"FRESHWATER - Asian (China, Korea)",Exotic
Misgurnus mohoity,NA,NA,NA,"FRESHWATER - Asian (China, Mongolia, Russia)",Exotic
Alburnus tarichi,NA,NA,NA,FRESHWATER - Turkey,Exotic
Cyprinus rubrofuscus,NA,NA,NA,FRESHWATER - E China,Exotic
Gobio cynocephalus,NA,NA,NA,FRESHWATER - Asia - russia and china,Exotic
Leuciscus aspius,NA,NA,NA,FRESHWATER - Europe,Native
Leucos aula,NA,NA,NA,FRESHWATER - Europe,Native
Esox aquitanicus,NA,NA,NA,FRESHWATER - Europe,Native
Esox reichertii,NA,NA,NA,FRESHWATER - E China,Exotic
Gadus macrocephalus,NA,NA,NA,MARINE,drop
Gadus morhua,NA,NA,NA,MARINE,drop
Merlangius merlangus,NA,NA,NA,MARINE,drop
Pollachius pollachius,NA,NA,NA,MARINE,drop
Raniceps raninus,NA,NA,NA,MARINE,drop
Trisopterus capelanus,NA,NA,NA,MARINE,drop
Trisopterus luscus,NA,NA,NA,MARINE,drop
Trisopterus minutus,NA,NA,NA,MARINE,drop
Ciliata mustela,NA,NA,NA,MARINE,drop
Ciliata septentrionalis,NA,NA,NA,MARINE,drop
Enchelyopus cimbrius,NA,NA,NA,MARINE,drop
Gaidropsarus mediterraneus,NA,NA,NA,MARINE,drop
Gaidropsarus vulgaris,NA,NA,NA,MARINE,drop
Phycis phycis,NA,NA,NA,MARINE,drop
Spinachia spinachia,NA,NA,NA,MARINE,drop
Lepadogaster candolii,NA,NA,NA,MARINE,drop
Ammodytes marinus,NA,NA,NA,MARINE,drop
Ammodytes tobianus,NA,NA,NA,MARINE,drop
Gymnammodytes cicerelus,NA,NA,NA,MARINE,drop
Hyperoplus lanceolatus,NA,NA,NA,MARINE,drop
Apogon imberbis,NA,NA,NA,MARINE,drop
Aidablennius sphynx,NA,NA,NA,MARINE,drop
Coryphoblennius galerita,NA,NA,NA,MARINE,drop
Lipophrys pholis,NA,NA,NA,MARINE,drop
Lipophrys trigloides,NA,NA,NA,MARINE,drop
Microlipophrys canevae,NA,NA,NA,MARINE,drop
Microlipophrys dalmatinus,NA,NA,NA,MARINE,drop
Parablennius gattorugine,NA,NA,NA,MARINE,drop
Parablennius incognitus,NA,NA,NA,MARINE,drop
Parablennius pilicornis,NA,NA,NA,MARINE,drop
Parablennius rouxi,NA,NA,NA,MARINE,drop
Parablennius sanguinolentus,NA,NA,NA,MARINE,drop
Parablennius tentacularis,NA,NA,NA,MARINE,drop
Parablennius zvonimiri,NA,NA,NA,MARINE,drop
Brama brama,NA,NA,NA,MARINE,drop
Callionymus lyra,NA,NA,NA,MARINE,drop
Callionymus pusillus,NA,NA,NA,MARINE,drop
Callionymus reticulatus,NA,NA,NA,MARINE,drop
Callionymus risso,NA,NA,NA,MARINE,drop
Lichia amia,NA,NA,NA,MARINE,drop
Seriola dumerili,NA,NA,NA,MARINE,drop
Trachurus mediterraneus,NA,NA,NA,MARINE,drop
Trachurus murphyi,NA,NA,NA,MARINE,drop
Trachurus trachurus,NA,NA,NA,MARINE,drop
Micropterus dolomieu,NA,NA,NA,FRESHWATER - N America,Exotic
Centropomus viridis,NA,NA,NA,MARINE,drop
Cichlasoma bimaculatum,NA,NA,NA,FRESHWATER - S America,Exotic
Aphia minuta,NA,NA,NA,MARINE,drop
Crystallogobius linearis,NA,NA,NA,MARINE,drop
Eviota afelei,NA,NA,NA,MARINE,drop
Gobiosoma bosc,NA,NA,NA,MARINE,drop
Gobius auratus,NA,NA,NA,MARINE,drop
Gobius bucchichi,NA,NA,NA,MARINE,drop
Gobius cruentatus,NA,NA,NA,MARINE,drop
Gobius geniporus,NA,NA,NA,MARINE,drop
Gobius incognitus,NA,NA,NA,MARINE,drop
Gobius paganellus,NA,NA,NA,MARINE,drop
Gobius vittatus,NA,NA,NA,MARINE,drop
Gobius xanthocephalus,NA,NA,NA,MARINE,drop
Gobiusculus flavescens,NA,NA,NA,MARINE,drop
Pomatoschistus lozanoi,NA,NA,NA,MARINE,drop
Pomatoschistus pictus,NA,NA,NA,MARINE,drop
Ponticola cephalargoides,NA,NA,NA,MARINE,drop
Ponticola ratan,NA,NA,NA,MARINE,drop
Thorogobius ephippiatus,NA,NA,NA,MARINE,drop
Zebrus zebrus,NA,NA,NA,MARINE,drop
Istiophorus albicans,NA,NA,NA,MARINE,drop
Centrolabrus melanocercus,NA,NA,NA,MARINE,drop
Coris julis,NA,NA,NA,MARINE,drop
Ctenolabrus rupestris,NA,NA,NA,MARINE,drop
Labrus bergylta,NA,NA,NA,MARINE,drop
